site_name,site_id,ccamlr.region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Cape Bowles,BOWL,48.1,-54.091,-61.316,adelie penguin,12,12,2006,2006,395,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Brash Island,BRAS,48.1,-54.914167,-63.386389,adelie penguin,17,12,2015,2015,94951,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Brown Bluff,BROW,48.1,-56.905,-63.5222,adelie penguin,10,1,2013,2012,18630,3,adults,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Chatos Island,CHAT,48.1,-69.152,-67.66,adelie penguin,11,1,2013,2012,135,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Christine Island,CHIS,48.1,-64.0236,-64.7946,adelie penguin,23,1,2004,2003,851,1,chicks,ground,<strong>Fraser  W. R.  </strong><i> ????b</i>. Ad&#233;lie penguin breeding success and chronology studies - relative abundance of one and two chick broods  collected at Palmer Station Antarctica research area  1991 - present. dataset.
Cockburn Island,COCK,48.1,-56.8412,-64.2005,adelie penguin,5,2,2011,2010,15721,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cone Island,CONE,48.1,-69.1531,-67.6749,adelie penguin,11,1,2013,2012,3051,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Cormorant Island,CORM,48.1,-63.9667,-64.7939,adelie penguin,27,1,2005,2004,227,1,chicks,ground,<strong>Fraser  W. R.  </strong><i> ????b</i>. Ad&#233;lie penguin breeding success and chronology studies - relative abundance of one and two chick broods  collected at Palmer Station Antarctica research area  1991 - present. dataset.
Darbel Island,DARB,48.1,-65.9003,-66.3808,adelie penguin,17,1,2013,2012,522,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Darwin Island,DARW,48.1,-54.726,-63.437,adelie penguin,14,12,2015,2015,5804,1,nests,ground photo,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Darboux Island,DARX,48.1,-64.215,-65.4028,adelie penguin,6,1,2013,2012,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Dee Island,DEEI,48.1,-59.7836,-62.4229,adelie penguin,7,12,2010,2010,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Descazes Island,DESC,48.1,-67.3334,-67.3334,adelie penguin,10,1,2013,2012,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Detaille Island,DETA,48.1,-66.7867,-66.8708,adelie penguin,25,1,2018,2017,370,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Devil Island,DEVI,48.1,-57.2889,-63.7992,adelie penguin,21,1,2011,2010,7108,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Dream Island,DREA,48.1,-64.2256,-64.7254,adelie penguin,16,1,2008,2007,1887,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Duroch Islands,DURO,48.1,-57.8903,-63.3033,adelie penguin,NA,NA,1990,1990,800,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
d'Urville Monument,DURV,48.1,-56.2944,-63.4267,adelie penguin,1,1,2017,2016,18415,2,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Duthoit Point,DUTH,48.1,-58.835,-62.307,adelie penguin,6,1,1994,1993,1,1,nests,ground,<strong>Coria  N. R.  M. Favero  M. P. Silva  and R. J. Casaux </strong><i> 1995a</i>. Breeding birds at Duthoit Point  Nelson Island  South Shetland Islands  Antarctica. Marine Ornithology 23:61-64.
Earle Island,EARL,48.1,-54.7833,-63.4833,adelie penguin,14,12,2015,2015,21071,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Eden Rocks,EDEN,48.1,-55.7018,-63.4946,adelie penguin,19,2,2011,2010,45374,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Emperor Island,EMPE,48.1,-68.71,-67.8647,adelie penguin,14,1,2013,2012,1420,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Etna Island,ETNA,48.1,-55.179,-63.0948,adelie penguin,22,1,2011,2010,226,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cape Evensen (mainland),EVEN,48.1,-65.683,-66.164,adelie penguin,17,1,2013,2012,163,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Cape Evensen (offshore rocks),EVER,48.1,-65.720454,-66.157904,adelie penguin,17,1,2013,2012,223,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Fish Islands,FISH,48.1,-65.3611,-66.0275,adelie penguin,18,1,2013,2012,1608,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Fizkin Island (islet northeast of Fizkin Island),FIZK,48.1,-65.48,-65.514,adelie penguin,7,1,2013,2012,113,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Fliess Bay,FLIE,48.1,-55.2412,-63.2045,adelie penguin,22,1,2011,2010,77,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Gerlache Island,GERL,48.1,-64.214,-64.601,adelie penguin,2,1,1985,1984,171,1,nests,ground,<strong>Parmalee  D. F. and C. C. Rimmer  </strong><i> 1987</i>. Revised penguin numbers and distributions for Anvers Island  Antarctica. British Antarctic Survey Bulletin 76:65-73.
Ginger Island,GING,48.1,-68.6858,-67.7494,adelie penguin,11,1,2013,2012,3335,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Gourdin Island,GOUR,48.1,-57.3074,-63.1969,adelie penguin,2,12,1998,1998,16334,2,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Green Island,GREI,48.1,-64.1487,-65.3236,adelie penguin,6,1,2013,2012,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Hannah Point,HANN,48.1,-60.6134,-62.6545,adelie penguin,12,12,1995,1995,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Heroina Island,HERO,48.1,-54.6083,-63.3944,adelie penguin,9,12,2015,2015,292363,2,nests,uav,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Holdfast Point (mainland and offshore rocks),HOLD,48.1,-66.5867,-66.7917,adelie penguin,17,1,2013,2012,721,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Hope Bay,HOPE,48.1,-56.9978,-63.3972,adelie penguin,27,10,1985,1985,123850,1,nests,ground,<strong>Myrcha  A.  A. Tatur  and R. d. Valle  </strong><i> 1987</i>. Numbers of Ad&#233;lie penguins breeding at Hope Bay and Seymour Island rookeries (West Antarctica) in 1985. Polish Polar Research 8:411-422.
Humble Island,HUMB,48.1,-64.0875,-64.7647,adelie penguin,10,12,2011,2011,587,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Jingle Island,JING,48.1,-65.3253,-65.4303,adelie penguin,7,1,2013,2012,592,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Joubin Islands,JOUB,48.1,-64.3992,-64.7744,adelie penguin,NA,NA,1990,1990,1251,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
King Point,KING,48.1,-55.481,-63.16,adelie penguin,12,1,2011,2010,28,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
"Knobble Head, Bransfield Island",KNOB,48.1,-56.5694,-63.1619,adelie penguin,NA,NA,1960,1960,100,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Kuno Point,KUNO,48.1,-67.1603,-66.3978,adelie penguin,10,1,2013,2012,235,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Lagotellerie Island,LAGO,48.1,-67.4017,-67.8869,adelie penguin,13,1,2013,2012,7483,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Islet next to Laktionov Island,LAKT,48.1,-65.789737,-65.758531,adelie penguin,8,1,2013,2012,38,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Islet 1 km west of Lavosier Island,LAVO,48.1,-66.829,-66.122,adelie penguin,10,1,2013,2012,17,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Lions Rump,LION,48.1,-58.1229,-62.1331,adelie penguin,NA,NA,2010,2010,3751,1,nests,ground,<strong>Korczak-Abshire  M.  M. W&#281;grzyn  P. J. Angiel  and M. Lisowska  </strong><i> 2013</i>. Pygoscelid penguins breeding distribution and population trends at Lions Rump rookery  King George Island. Polish Polar Research 34:87-99.
Litchfield Island,LITC,48.1,-64.0919,-64.7708,adelie penguin,NA,NA,2008,2008,0,1,nests,ground,<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2009a</i>. Management plan for Antarctic Specially Protected Area No. 113: Litchfield Island  Arthur Harbor Anvers Island  Palmer Archipelago. Measure 4  Final Report of the Thirty-second Antarctic Treaty Consultative Meeting  Baltimore  United States. 
Llano Point,LLAN,48.1,-58.446,-62.176,adelie penguin,NA,1,2014,2013,3627,1,chicks,ground,<strong>Antarctic Ecosystem Research Group  </strong><i> 2014a</i>. 13 January 2014 weekly field reports: Copacabana  King George Island. Technical Report 2  National Oceanic & Atmospheric Administration  La Jolla  United States. 
Madder Cliff (Joinville Island),MADD,48.1,-56.4831,-63.2989,adelie penguin,8,1,2012,2011,34022,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Madder Cliff Island,MADI,48.1,-56.499,-63.306,adelie penguin,1,1,2018,2017,1000,4,nests,offshore vessel,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
North Cape (d'Urville Island),NCAP,48.1,-56.489,-62.974,adelie penguin,NA,NA,1960,1960,75,3,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Northeast of Smiggers Island,NESM,48.1,-65.346483,-65.451571,adelie penguin,7,1,2013,2012,11,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Patella Island,PATE,48.1,-55.5238,-63.1294,adelie penguin,NA,NA,1960,1960,1000,5,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Paulet Island,PAUL,48.1,-55.7881,-63.5801,adelie penguin,19,2,2011,2010,107285,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Port Charcot,PCHA,48.1,-64.026,-65.067,adelie penguin,19,1,2018,2017,10,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Peine Island (Comb Island),PEIN,48.1,-54.717,-63.411,adelie penguin,18,12,2015,2015,12000,4,nests,ground photo,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Penguin Island,PENG,48.1,-57.9269,-62.102,adelie penguin,16,1,2018,2017,142,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Penguin Point (Seymour Island),PEPO,48.1,-56.7114,-64.3061,adelie penguin,21,12,2009,2009,16015,2,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Petermann Island,PETE,48.1,-64.137,-65.176,adelie penguin,26,1,2018,2017,292,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Plato Island (Platter Island),PLAT,48.1,-54.6742,-63.433,adelie penguin,16,12,2015,2015,40803,1,nests,ground,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Pleneau Island,PLEN,48.1,-64.0556,-65.104,adelie penguin,6,1,2018,2017,1,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Pink Pool Point,PPPT,48.1,-54.079,-61.309,adelie penguin,12,12,2006,2006,1811,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Point Thomas,PTHO,48.1,-58.4615,-62.1631,adelie penguin,NA,11,2013,2013,150,1,nests,ground,<strong>Antarctic Ecosystem Research Group  </strong><i> 2014b</i>. 20 January 2014 weekly field reports: Copacabana  King George Island. Technical Report 3  National Oceanic & Atmospheric Administration  La Jolla  United States. 
Red Island,REDI,48.1,-57.88,-63.7356,adelie penguin,29,10,2006,2006,1002,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Rhyolite Island,RHYO,48.1,-68.5709,-69.6488,adelie penguin,6,2,2011,2010,36,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Red Rock Ridge,RRRI,48.1,-67.1686,-68.2878,adelie penguin,12,1,2013,2012,3760,1,chicks,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Saxum Nunatak,SAXU,48.1,-56.0533,-63.1367,adelie penguin,22,12,2005,2005,150,4,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Sheppard Nunatak,SHEN,48.1,-57.0154,-63.3629,adelie penguin,8,1,2005,2004,1523,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Sheppard Point,SHEP,48.1,-56.9844,-63.3707,adelie penguin,8,1,2005,2004,3182,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Smiggers Island,SMIG,48.1,-65.3514,-65.4597,adelie penguin,7,1,2013,2012,453,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
South of Martin Islands,SOMI,48.1,-65.3381,-65.6881,adelie penguin,8,1,2013,2012,477,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Stranger Point,STRA,48.1,-58.6161,-62.26,adelie penguin,NA,NA,2012,2012,1003,1,nests,ground,<strong>Ju&#225;res  M. A.  M. M. Santos  J. Negrete  J. A. Mennucci  P. J. Perchivale  R. J. Casaux  and N. R. Coria  </strong><i> 2015</i>. Ad&#233;lie penguin population changes at Stranger Point: 19 years of monitoring. Antarctic Science 27:455-461.
Tay Head (Joinville Island),TAYH,48.1,-55.5508,-63.3486,adelie penguin,23,12,2010,2010,4156,3,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Torgersen Island,TORG,48.1,-64.0741,-64.7731,adelie penguin,26,1,2005,2004,320,1,chicks,ground,<strong>Fraser  W. R.  </strong><i> ????b</i>. Ad&#233;lie penguin breeding success and chronology studies - relative abundance of one and two chick broods  collected at Palmer Station Antarctica research area  1991 - present. dataset.
Trundle Island,TRUN,48.1,-65.2885,-65.3938,adelie penguin,7,1,2013,2012,347,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
Three Sisters,TSIS,48.1,-57.9135,-62.0779,adelie penguin,2,1,2018,2017,510,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Turret Point (King George Island),TURR,48.1,-57.9514,-62.0875,adelie penguin,13,12,2017,2017,89,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Vieugue Island,VIEU,48.1,-65.2144,-65.6682,adelie penguin,8,1,2013,2012,359,1,nests,ground,<strong>Casanovas  P.  R. Naveen  S. Forrest  J. Poncet  and H. J. Lynch  </strong><i> 2015</i>. A comprehensive coastal seabird survey maps out the front lines of ecological change on the western Antarctic Peninsula. Polar Biology 38:927-940.
