"site_name","site_id","ccamlr.region","longitude_epsg_4326","latitude_epsg_4326","common_name","day","month","year","season_starting","penguin_count","accuracy","count_type","vantage","reference"
"Barton Peninsula","BART",48.1,-58.791,-62.2239999999993,"chinstrap penguin",NA,NA,2013,2013,3157,2,"nests","ground","<strong>(ATCM) ANTARCTIC TREATY CONSULTATIVE MEETING  </strong><i> 2014b</i>. Management plan for Antarctic Specially Protected Area No. 171: 4 Nar&#281;bski Point  Barton Peninsula  King George Island. Measure 11  Final Report of the Thirty-second Antarctic Treaty Consultative Meeting  Brasilia  Brasil."
"Beaver Rocks","BEAV",48.1,-59.362,-63.6789999999995,"chinstrap penguin",18,1,1987,1986,100,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Bell Island","BELI",48.1,-61.9976,-64.2781999999996,"chinstrap penguin",29,1,1986,1985,25,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Bell Point","BELL",48.1,-58.889,-62.1189999999992,"chinstrap penguin",NA,NA,1980,1980,3274,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Cape Belsham","BELS",48.1,-54.883,-61.095999999999,"chinstrap penguin",6,3,1971,1970,7000,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Blake Island","BLAK",48.1,-59.0303,-63.6489999999995,"chinstrap penguin",NA,NA,1990,1990,10,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Cape Bowles","BOWL",48.1,-54.091,-61.3159999999991,"chinstrap penguin",25,12,1976,1976,33000,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Boyer Rocks","BOYE",48.1,-59.0371,-63.5829499999995,"chinstrap penguin",NA,NA,1990,1990,235,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Byewater Point (south)","BPTS",48.1,-61.526269,-62.7746949999994,"chinstrap penguin",4,2,1987,1986,2500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Brimstone Peak","BRIM",48.1,-57.752451,-61.9124069999992,"chinstrap penguin",31,1,1987,1986,10000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Brittannia's Figleaf","BRIT",48.1,-55.213,-61.277999999999,"chinstrap penguin",13,12,2016,2016,2869,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Brittannia's Figleaf West","BRIW",48.1,-55.241,-61.277999999999,"chinstrap penguin",19,12,1970,1970,11555,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Brimstone Peak (west)","BRPW",48.1,-57.7633,-61.9183229999992,"chinstrap penguin",31,1,1987,1986,6000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Buskin Rocks","BUSK",48.1,-55.149,-61.056999999999,"chinstrap penguin",NA,NA,1971,1971,400,5,"nests","ground","<strong>Burley  M.  and A.G.E. Jones  </strong><i> 1972</i>. Joint services expedition to the Elephant Group Islands 1976-1977. monograph."
"Byers Peninsula","BYER",48.1,-61.066,-62.6329999999993,"chinstrap penguin",NA,NA,1988,1988,3,1,"nests","","<strong>Woehler  E. J. and J. P. Croxall  </strong><i> 1997</i>. The status and trends of Antarctic and sub-Antarctic seabirds. Marine Ornithology 25:43-66."
"Byewater Point","BYEW",48.1,-61.5021,-62.7527999999994,"chinstrap penguin",4,2,1987,1986,700,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Carlota Cove","CARL",48.1,-59.709059,-62.3734429999993,"chinstrap penguin",NA,NA,1975,1975,1,1,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Caroline Bluff","CARO",48.1,-57.659,-61.9109999999992,"chinstrap penguin",31,1,1987,1986,5500,4,"nests","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Castle Rock","CAST",48.1,-61.5814,-62.7885999999994,"chinstrap penguin",4,2,1987,1986,5000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Casy Island","CASY",48.1,-57.5052,-63.2364999999995,"chinstrap penguin",6,1,1970,1969,30,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Chinstrap Camp","CCMP",48.1,-54.756,-61.155999999999,"chinstrap penguin",18,1,1971,1970,24480,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cape Conway (east)","CCOE",48.1,-61.424,-62.8379999999994,"chinstrap penguin",8,2,1987,1986,2500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cecilia Island","CECI",48.1,-59.7285,-62.4127999999993,"chinstrap penguin",7,12,2010,2010,0,1,"nests","offshore vessel","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Chabrier Rock, Vaureal Peak","CHAB",48.1,-58.2961,-62.1873999999992,"chinstrap penguin",12,2,1987,1986,2500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Chinstrap Cove","CHIN",48.1,-54.197,-61.244999999999,"chinstrap penguin",20,1,1977,1976,20701,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cape Herschel (northeast)","CHNE",48.1,-60.986,-64.0419999999996,"chinstrap penguin",23,1,1987,1986,450,4,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Charles Point","CHPT",48.1,-61,-64.2359999999996,"chinstrap penguin",10,12,2010,2010,7,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Cape Herschel (southeast)","CHSE",48.1,-61.033,-64.0779999999996,"chinstrap penguin",12,2,2011,2010,650,1,"nests","ground","<strong>Gonz&#225;lez-Zevallos  D.  M. M. Santos  E. F. Rombol&#225;  M. A. Ju&#225;res  and N. R. Coria  </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula. Polar Research 32:1-7."
"Cieslak Point","CIPT",48.1,-58.655,-62.0089999999992,"chinstrap penguin",NA,NA,1980,1980,955,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Cape Lindsey","CLIN",48.1,-55.48,-61.106999999999,"chinstrap penguin",18,1,1971,1970,710,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Claude Point","CLPT",48.1,-62.6177,-64.1159999999996,"chinstrap penguin",7,1,1985,1984,190,1,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Cape Melville","CMEL",48.1,-57.58,-62.0219999999992,"chinstrap penguin",31,1,1987,1986,8500,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cape Murray","CMUR",48.1,-61.6206,-64.3662999999996,"chinstrap penguin",NA,1,2016,2015,0,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Cobalescou Island","COBA",48.1,-61.6499,-64.1794999999996,"chinstrap penguin",13,12,2011,2011,457,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Cone Island","CONE",48.1,-69.1531,-67.6748999999999,"chinstrap penguin",11,1,2013,2012,2,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Cape Conway","CONW",48.1,-61.4224,-62.8414999999994,"chinstrap penguin",8,2,1987,1986,400,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Cornwall Island","CORI",48.1,-59.709,-62.3425999999993,"chinstrap penguin",NA,NA,1987,1987,110,3,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Cieslak Point (west)","CPTW",48.1,-58.689,-62.0119999999992,"chinstrap penguin",NA,NA,1980,1980,280,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Crab Beach","CRAB",48.1,-55.17,-61.245999999999,"chinstrap penguin",18,1,1971,1970,4150,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Near Craggy Point (Sugarloaf Island)","CRAG",48.1,-54.186,-61.301999999999,"chinstrap penguin",21,1,1977,1976,1200,5,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cresta Run Bay","CRBA",48.1,-55.359,-61.235999999999,"chinstrap penguin",18,1,1971,1970,815,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cornwallis Island","CRWL",48.1,-54.4641,-61.072399999999,"chinstrap penguin",12,2,1977,1976,2200,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Cuverville Island","CUVE",48.1,-62.626,-64.6839999999996,"chinstrap penguin",15,12,2015,2015,0,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Davey Point","DAVE",48.1,-58.5302,-61.9688999999992,"chinstrap penguin",29,1,1987,1986,25000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Decimal Point","DECI",48.1,-54.702,-61.096999999999,"chinstrap penguin",18,1,1971,1970,200,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Dee Island","DEEI",48.1,-59.7836,-62.4228999999993,"chinstrap penguin",7,12,2010,2010,0,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Delaite Island","DELA",48.1,-62.1881,-64.5642999999996,"chinstrap penguin",9,12,2016,2016,108,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Demay Point","DEMA",48.1,-58.4191,-62.2136999999993,"chinstrap penguin",NA,NA,1996,1996,217,2,"nests","ground","<strong>Myrcha  A.  </strong><i> 1993</i>. Birds. In S. Rakusa-Suszczewski  editor  The maritime Antarctic coastal ecosystem of Admiralty Bay  pages 129-141. Department of Antarctic Biology  Polish Academy of Sciences  Warsaw  Poland."
"Devils Point","DEPT",48.1,-61.1829,-62.6713999999993,"chinstrap penguin",4,2,1987,1986,5500,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Desolation Island","DESO",48.1,-60.3468,-62.4577999999993,"chinstrap penguin",2,2,1987,1986,18000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Dream Island","DREA",48.1,-64.2256,-64.7253999999996,"chinstrap penguin",29,12,1985,1985,136,1,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Dream Island West (Casey Islands)","DREW",48.1,-64.253955,-64.7295279999996,"chinstrap penguin",8,2,1987,1986,68,1,"chicks","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Duthiers Point","DUPT",48.1,-62.8179,-64.8048999999996,"chinstrap penguin",23,12,2013,2013,22,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Duroch Islands","DURO",48.1,-57.8903,-63.3032999999995,"chinstrap penguin",NA,NA,1990,1990,9400,4,"nests","","<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom."
"Eadie Island","EADI",48.1,-55.929,-61.4819999999991,"chinstrap penguin",1,1,1978,1977,5150,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Eckener Point","ECKE",48.1,-61.6042,-64.4308999999996,"chinstrap penguin",12,11,2011,2011,41,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Edwards Point","EDWA",48.1,-59.4984,-62.4628999999993,"chinstrap penguin",11,2,1987,1986,40,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"East 2-3 km of Cape Garry","EGAR",48.1,-62.2131,-63.3554999999995,"chinstrap penguin",5,2,1987,1986,6000,4,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Elephant Island (north coast point 0)","EIP0",48.1,-55.145,-61.076999999999,"chinstrap penguin",25,1,1971,1970,250,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Elephant Island (north coast point 1)","EIP1",48.1,-55.113,-61.090999999999,"chinstrap penguin",25,1,1971,1970,1500,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Elephant Island (north coast point 2)","EIP2",48.1,-55.087,-61.092999999999,"chinstrap penguin",25,1,1971,1970,1000,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Elephant Island (north coast point 3)","EIP3",48.1,-55.074,-61.091999999999,"chinstrap penguin",25,1,1971,1970,450,3,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Elephant Island (north coast point 4)","EIP4",48.1,-55.067,-61.093999999999,"chinstrap penguin",25,1,1971,1970,50,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Elephant Island (north coast point 5)","EIP5",48.1,-55.057,-61.093999999999,"chinstrap penguin",25,1,1971,1970,20,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Elephant Point","ELPT",48.1,-60.8573,-62.6923999999994,"chinstrap penguin",9,2,1987,1986,1500,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Emerald Cove","EMER",48.1,-57.682158,-61.9062079999992,"chinstrap penguin",31,1,1987,1986,200,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Emperor Island","EMPE",48.1,-68.71,-67.8646999999999,"chinstrap penguin",14,1,2013,2012,1,1,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Entrance Point","ENTR",48.1,-60.5533,-62.9980999999994,"chinstrap penguin",22,1,2018,2017,873,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Entrance Point West","ENTW",48.1,-60.562,-63.0079999999994,"chinstrap penguin",NA,12,2011,2011,852,3,"nests","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
"Farewell Rock","FARE",48.1,-61.0183,-63.8677999999995,"chinstrap penguin",17,1,2016,2015,99,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"False Ridge","FARI",48.1,-54.052,-61.282999999999,"chinstrap penguin",25,12,1976,1976,5000,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Fildes Peninsula (northwest side)","FILD",48.1,-58.97,-62.1729999999992,"chinstrap penguin",1,2,1987,1986,150,3,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Fort Point (Greenwich Island)","FORT",48.1,-59.58,-62.5419999999993,"chinstrap penguin",8,1,2018,2017,1243,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"False Round Point","FRPT",48.1,-57.9893,-61.8982999999992,"chinstrap penguin",NA,NA,1980,1980,49410,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Fur Seal Point","FURS",48.1,-54.043,-61.217999999999,"chinstrap penguin",4,2,1977,1976,70450,4,"nests","ground","<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom."
"Gam Point Area","GAMP",48.1,-57.9546,-61.9226999999992,"chinstrap penguin",NA,NA,1980,1980,90,2,"nests","ground","<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30."
"Cape Garry","GARY",48.1,-62.258,-63.3609999999995,"chinstrap penguin",5,2,1987,1986,200000,5,"adults","ground","<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30."
"Gaston Islands","GAST",48.1,-61.827,-64.4847999999996,"chinstrap penguin",24,1,2018,2017,323,1,"nests","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Georges Point (Ronge Island)","GEOR",48.1,-62.6696,-64.6693999999996,"chinstrap penguin",15,2,2018,2017,207,1,"chicks","ground","<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset."
"Gerlache Island","GERL",48.1,-64.214,-64.6009999999996,"chinstrap penguin",2,1,1985,1984,1000,5,"nests","ground","<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129."
"Gibbs Island","GIBB",48.1,-55.6385,-61.4709999999991,"chinstrap penguin",19,2,2004,2003,80000,4,"adults","ground","<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653."
